country,date,value,indicator,source
Brazil,2024,3.41931516597739,gdp_growth_pct,World Bank
Brazil,2023,3.24165532813583,gdp_growth_pct,World Bank
Brazil,2022,3.01669435408112,gdp_growth_pct,World Bank
Brazil,2021,4.7626043797061,gdp_growth_pct,World Bank
Brazil,2020,-3.27675879612903,gdp_growth_pct,World Bank
Brazil,2019,1.22077782271943,gdp_growth_pct,World Bank
Brazil,2018,1.78366676137003,gdp_growth_pct,World Bank
Brazil,2017,1.32286905390815,gdp_growth_pct,World Bank
Brazil,2016,-3.2759169063211,gdp_growth_pct,World Bank
Brazil,2015,-3.54576339347278,gdp_growth_pct,World Bank
Brazil,2014,0.503955740273241,gdp_growth_pct,World Bank
Brazil,2013,3.0048226702888,gdp_growth_pct,World Bank
Brazil,2012,1.92117598509462,gdp_growth_pct,World Bank
Brazil,2011,3.97442307944702,gdp_growth_pct,World Bank
Brazil,2010,7.52822581812151,gdp_growth_pct,World Bank
Brazil,2009,-0.12581200299141,gdp_growth_pct,World Bank
Brazil,2008,5.09419544811998,gdp_growth_pct,World Bank
Brazil,2007,6.06987060733128,gdp_growth_pct,World Bank
Brazil,2006,3.96198870899485,gdp_growth_pct,World Bank
Brazil,2005,3.20213206216255,gdp_growth_pct,World Bank
Brazil,2004,5.75996463685998,gdp_growth_pct,World Bank
Brazil,2003,1.14082899877101,gdp_growth_pct,World Bank
Brazil,2002,3.05346185683619,gdp_growth_pct,World Bank
Brazil,2001,1.3898964044581,gdp_growth_pct,World Bank
Brazil,2000,4.38794944364869,gdp_growth_pct,World Bank
China,2024,4.9773565917572,gdp_growth_pct,World Bank
China,2023,5.41484330099675,gdp_growth_pct,World Bank
China,2022,3.1341888719577,gdp_growth_pct,World Bank
China,2021,8.57008513166322,gdp_growth_pct,World Bank
China,2020,2.34018843078414,gdp_growth_pct,World Bank
China,2019,6.06850235053705,gdp_growth_pct,World Bank
China,2018,6.75671800166833,gdp_growth_pct,World Bank
China,2017,6.8912663621211,gdp_growth_pct,World Bank
China,2016,6.77555562837017,gdp_growth_pct,World Bank
